Acc	Subgenus	Genus	Country	Continent	Brazilian State	Biome	Host	Name	Collection_Date
AY532270	Tegacovirus	Alphacoronavirus				Other	Acinonyx jubatus 	Acinonyx jubatus coronavirus	
DQ648831	Unclassified	Alphacoronavirus				Other	Chiroptera	Bat coronavirus	
EF544563	Colacovirus	Alphacoronavirus	USA	North America		Other	Chiroptera	Rocky Mountain Bat Coronavirus 11	2006-08
EF544565	Colacovirus	Alphacoronavirus	USA	North America		Other	Chiroptera	Rocky Mountain Bat Coronavirus 48	2006-08
EU769558	Unclassified	Alphacoronavirus	Trinidad and Tobago	Central America		Tropical RainForest	Glossophaga soricina	Bat coronavirus Trinidad CO7BA	2007
FJ710045	Duvinacovirus	Alphacoronavirus	Ghana	Africa		Other	Hipposideros	Bat coronavirus Hipposideros	2008
FJ710053	Duvinacovirus	Alphacoronavirus	Ghana	Africa		Other	Hipposideros	Bat coronavirus Hipposideros	2008
HQ184058	Nyctacovirus	Alphacoronavirus	Spain	Europe		Other	Pipistrellus kuhlii	Alphacoronavirus P.kuh	2007
JQ731784	Unclassified	Alphacoronavirus	Panama	Central America		Tropical RainForest	Artibeus jamaicensis	Coronavirus BtCoV KP256	2010
JQ731786	Unclassified	Alphacoronavirus	Panama	Central America		Tropical RainForest	Artibeus jamaicensis	Coronavirus BtCoV KP565	2010
JQ731789	Unclassified	Alphacoronavirus	Costa Rica	Central America		Tropical RainForest	Carollia perspicillata	Coronavirus BtCoV KCR253 	2010
JQ731790	Unclassified	Alphacoronavirus	Costa Rica	Central America		Tropical RainForest	Carollia perspicillata	Coronavirus BtCoV KCR252	2010
JQ731791	Unclassified	Alphacoronavirus	Costa Rica	Central America		Tropical RainForest	Carollia perspicillata	Coronavirus BtCoV KCR91	2010
JQ731793	Unclassified	Alphacoronavirus	Costa Rica	Central America		Tropical RainForest	Carollia perspicillata	Coronavirus BtCoV KCR216	2010
JQ731794	Unclassified	Alphacoronavirus	Brazil	South America	Bahia	Caatinga	Carollia perspicillata	Coronavirus BtCoV BRA100	2009
